time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1697270480.13046384,0.01186257,22537,0.00187268,0.00000000,0,0.00000000,0,4192,1509,0.00000000
1697270480.23053718,0.01170613,22517,0.00218514,0.00000000,0,0.00000000,0,4476,1451,0.01203406
1697270480.33073139,0.01143106,22505,0.00177373,0.00000000,0,0.00000000,0,4674,1106,0.01052880
1697270480.43078351,0.01141581,22493,0.00179415,0.00000000,0,0.00000000,0,5040,1253,0.01991873
1697270480.53069043,0.01200907,22503,0.00232554,0.00000000,0,0.00000000,0,5744,1810,0.01136388
1697270480.63041735,0.01226572,22526,0.00272457,0.00000000,0,0.00000000,0,7046,2341,0.01333218
1697270480.73073268,0.01117658,22511,0.00161913,0.00000000,0,0.00000000,0,7239,904,0.01085315
1697270480.83077168,0.01146178,22533,0.00168838,0.00000000,0,0.00000000,0,7548,1194,0.01088399
1697270480.93029618,0.01364872,22518,0.00121672,0.00000000,0,0.00000000,0,7907,732,0.01092319
1697270481.03054237,0.01393740,22505,0.00148667,0.00000000,0,0.00000000,0,8424,1169,0.00951138
1697270481.13066149,0.01462726,22507,0.00214164,0.00000000,0,0.00000000,0,9195,1981,0.01109900
1697270481.23038006,0.01405414,22507,0.00164441,0.00000000,0,0.00000000,0,9316,1357,0.01711047
1697270481.33010745,0.01387050,22487,0.00137791,0.00000000,0,0.00000000,0,9752,841,0.01099628
1697270481.43076229,0.01207594,22477,0.00213137,0.00000000,0,0.00000000,0,9947,1710,0.01110104
1697270481.53028703,0.01259856,22529,0.00261662,0.00000000,0,0.00000000,0,10501,1928,0.01106949
1697270481.63005543,0.01223887,22520,0.00212847,0.00000000,0,0.00000000,0,10575,1712,0.01089074
1697270481.73007917,0.01116928,22483,0.00107510,0.00000000,0,0.00000000,0,10712,1118,0.01122585
1697270481.83045816,0.01772568,22484,0.00202979,0.00000000,0,0.00000000,0,10908,1053,0.01121049
1697270481.93050694,0.01098755,22486,0.00089660,0.00000000,0,0.00000000,0,10984,576,0.01098949
1697270482.03090787,0.01091751,22469,0.00074053,0.00000000,0,0.00000000,0,11137,614,0.01071915
1697270482.13061571,0.01127773,22477,0.00114904,0.00000000,0,0.00000000,0,11122,826,0.01119570
1697270482.23042345,0.01204262,22496,0.00165352,0.00000000,0,0.00000000,0,11223,1374,0.01123218
1697270482.33029985,0.01161120,22485,0.00138311,0.00000000,0,0.00000000,0,11370,1351,0.02211425
1697270482.43068480,0.01160025,22527,0.00112773,0.00000000,0,0.00000000,0,11526,1316,0.02012353
1697270482.52996063,0.01158211,22560,0.00105846,0.00000000,0,0.00000000,0,11733,1190,0.01080096
1697270482.63072395,0.01207945,22490,0.00132760,0.00000000,0,0.00000000,0,11920,1274,0.01091917
1697270482.73065591,0.01206375,22513,0.00129118,0.00000000,0,0.00000000,0,11847,1267,0.01115407
1697270482.82988644,0.01228391,22521,0.00135369,0.00000000,0,0.00000000,0,12117,1427,0.01101280
1697270482.93071508,0.01242888,22505,0.00140791,0.00000000,0,0.00000000,0,11790,1303,0.01099500
1697270483.03054690,0.01208062,22525,0.00118677,0.00000000,0,0.00000000,0,11981,1183,0.00967918
1697270483.13065386,0.01200705,22509,0.00092734,0.00000000,0,0.00000000,0,11990,890,0.01091979
1697270483.23069382,0.01209937,22501,0.00108577,0.00000000,0,0.00000000,0,12088,1153,0.01067115
1697270483.33058000,0.01213782,22515,0.00103075,0.00000000,0,0.00000000,0,12081,1139,0.01383373
1697270483.43042278,0.01240359,22523,0.00122812,0.00000000,0,0.00000000,0,12163,1454,0.01125249
1697270483.53034472,0.01285259,22475,0.00178839,0.00000000,0,0.00000000,0,12373,1786,0.01082885
1697270483.63051081,0.01289842,22510,0.00191897,0.00000000,0,0.00000000,0,12969,1957,0.01107942
1697270483.72990489,0.01333112,22505,0.00217428,0.00000000,0,0.00000000,0,13343,1909,0.01163930
1697270483.83019400,0.01298846,22517,0.00178863,0.00000000,0,0.00000000,0,13838,1723,0.01076316
1697270483.93054938,0.01334987,22514,0.00208241,0.00000000,0,0.00000000,0,14197,1642,0.01091931
1697270484.03064036,0.01296710,22477,0.00166402,0.00000000,0,0.00000000,0,14210,1523,0.01360904
1697270484.13056183,0.01298983,22530,0.00164005,0.00000000,0,0.00000000,0,14336,1401,0.00923988
1697270484.23053885,0.01316709,22506,0.00174391,0.00000000,0,0.00000000,0,14383,1467,0.01169391
1697270484.33014989,0.01333088,22503,0.00201176,0.00000000,0,0.00000000,0,14621,1908,0.01054000
1697270484.43040133,0.01335725,22509,0.00173636,0.00000000,0,0.00000000,0,14832,1699,0.01123501
1697270484.53047013,0.01323180,22516,0.00191055,0.00000000,0,0.00000000,0,14693,1375,0.01105206
1697270484.63045216,0.01333197,22495,0.00204545,0.00000000,0,0.00000000,0,14824,1750,0.01066023
1697270484.72984362,0.01284222,22490,0.00161270,0.00000000,0,0.00000000,0,14917,1683,0.00928126
1697270484.83038592,0.01261261,22491,0.00130889,0.00000000,0,0.00000000,0,14979,1381,0.01089475
1697270484.93050218,0.01237844,22503,0.00111301,0.00000000,0,0.00000000,0,15052,1261,0.01095578
1697270485.02955770,0.01238675,22496,0.00113975,0.00000000,0,0.00000000,0,15107,1288,0.01168355
1697270485.13017893,0.01234605,22518,0.00109594,0.00000000,0,0.00000000,0,15175,1222,0.01079485
1697270485.23047256,0.01276687,22484,0.00140750,0.00000000,0,0.00000000,0,15204,1524,0.01165692
1697270485.33063078,0.01356051,22500,0.00219865,0.00000000,0,0.00000000,0,15269,1931,0.01156425
1697270485.43075585,0.01301320,22509,0.00172178,0.00000000,0,0.00000000,0,15348,1756,0.01095558
1697270485.53016400,0.01294618,22503,0.00159848,0.00000000,0,0.00000000,0,15484,1513,0.01066938
